DATE,VALUE
1979-01-01,66.02
1979-02-01,66.37
1979-03-01,66.75
1979-04-01,67.06
1979-05-01,67.41
1979-06-01,67.76
1979-07-01,68.11
1979-08-01,68.43
1979-09-01,68.70
1979-10-01,68.94
1979-11-01,69.25
1979-12-01,69.35
1980-01-01,69.48
1980-02-01,69.54
1980-03-01,69.59
1980-04-01,69.60
1980-05-01,69.57
1980-06-01,69.61
1980-07-01,69.62
1980-08-01,69.86
1980-09-01,70.00
1980-10-01,70.29
1980-11-01,70.48
1980-12-01,70.70
1981-01-01,70.89
1981-02-01,71.08
1981-03-01,71.27
1981-04-01,71.48
1981-05-01,71.66
1981-06-01,71.86
1981-07-01,71.87
1981-08-01,71.92
1981-09-01,71.86
1981-10-01,71.72
1981-11-01,71.63
1981-12-01,71.51
1982-01-01,71.36
1982-02-01,71.29
1982-03-01,71.20
1982-04-01,71.10
1982-05-01,71.00
1982-06-01,70.91
1982-07-01,70.85
1982-08-01,70.71
1982-09-01,70.69
1982-10-01,70.65
1982-11-01,70.70
1982-12-01,70.81
1983-01-01,70.97
1983-02-01,71.22
1983-03-01,71.45
1983-04-01,71.78
1983-05-01,72.11
1983-06-01,72.48
1983-07-01,72.75
1983-08-01,73.14
1983-09-01,73.46
1983-10-01,73.93
1983-11-01,74.22
1983-12-01,74.64
1984-01-01,75.10
1984-02-01,75.47
1984-03-01,75.96
1984-04-01,76.35
1984-05-01,76.79
1984-06-01,77.14
1984-07-01,77.59
1984-08-01,77.89
1984-09-01,78.27
1984-10-01,78.52
1984-11-01,78.89
1984-12-01,79.25
1985-01-01,79.54
1985-02-01,79.86
1985-03-01,80.16
1985-04-01,80.47
1985-05-01,80.77
1985-06-01,81.05
1985-07-01,81.40
1985-08-01,81.72
1985-09-01,82.02
1985-10-01,82.31
1985-11-01,82.61
1985-12-01,82.85
1986-01-01,83.13
1986-02-01,83.32
1986-03-01,83.62
1986-04-01,83.92
1986-05-01,84.21
1986-06-01,84.58
1986-07-01,84.96
1986-08-01,85.26
1986-09-01,85.57
1986-10-01,85.95
1986-11-01,86.30
1986-12-01,86.65
1987-01-01,86.99
1987-02-01,87.32
1987-03-01,87.77
1987-04-01,88.10
1987-05-01,88.47
1987-06-01,88.83
1987-07-01,89.21
1987-08-01,89.52
1987-09-01,89.98
1987-10-01,90.33
1987-11-01,90.83
1987-12-01,91.19
1988-01-01,91.69
1988-02-01,92.06
1988-03-01,92.44
1988-04-01,92.80
1988-05-01,93.14
1988-06-01,93.49
1988-07-01,93.82
1988-08-01,94.13
1988-09-01,94.56
1988-10-01,94.99
1988-11-01,95.31
1988-12-01,95.76
1989-01-01,96.07
1989-02-01,96.39
1989-03-01,96.56
1989-04-01,96.84
1989-05-01,96.97
1989-06-01,97.23
1989-07-01,97.46
1989-08-01,97.73
1989-09-01,98.06
1989-10-01,98.44
1989-11-01,98.85
1989-12-01,99.27
1990-01-01,99.69
1990-02-01,100.11
1990-03-01,100.40
1990-04-01,100.68
1990-05-01,100.93
1990-06-01,101.17
1990-07-01,101.29
1990-08-01,101.27
1990-09-01,101.36
1990-10-01,101.29
1990-11-01,101.22
1990-12-01,101.07
1991-01-01,100.98
1991-02-01,100.82
1991-03-01,100.78
1991-04-01,100.70
1991-05-01,100.73
1991-06-01,100.75
1991-07-01,100.77
1991-08-01,100.84
1991-09-01,100.66
1991-10-01,100.68
1991-11-01,100.41
1991-12-01,100.31
1992-01-01,100.18
1992-02-01,100.07
1992-03-01,100.13
1992-04-01,100.05
1992-05-01,100.07
1992-06-01,100.04
1992-07-01,100.00
1992-08-01,99.92
1992-09-01,99.83
1992-10-01,99.84
1992-11-01,99.83
1992-12-01,99.80
1993-01-01,99.79
1993-02-01,99.74
1993-03-01,99.82
1993-04-01,99.77
1993-05-01,99.90
1993-06-01,99.92
1993-07-01,100.09
1993-08-01,100.22
1993-09-01,100.37
1993-10-01,100.42
1993-11-01,100.50
1993-12-01,100.73
1994-01-01,100.83
1994-02-01,101.08
1994-03-01,101.31
1994-04-01,101.52
1994-05-01,101.85
1994-06-01,102.04
1994-07-01,102.25
1994-08-01,102.58
1994-09-01,102.89
1994-10-01,103.24
1994-11-01,103.52
1994-12-01,103.87
1995-01-01,104.13
1995-02-01,104.36
1995-03-01,104.62
1995-04-01,104.85
1995-05-01,105.19
1995-06-01,105.51
1995-07-01,105.79
1995-08-01,106.23
1995-09-01,106.51
1995-10-01,106.93
1995-11-01,107.22
1995-12-01,107.52
1996-01-01,107.97
1996-02-01,108.23
1996-03-01,108.61
1996-04-01,108.94
1996-05-01,109.28
1996-06-01,109.74
1996-07-01,110.07
1996-08-01,110.49
1996-09-01,110.82
1996-10-01,111.17
1996-11-01,111.67
1996-12-01,111.97
1997-01-01,112.45
1997-02-01,112.92
1997-03-01,113.42
1997-04-01,113.91
1997-05-01,114.39
1997-06-01,114.87
1997-07-01,115.21
1997-08-01,115.70
1997-09-01,116.19
1997-10-01,116.57
1997-11-01,117.14
1997-12-01,117.61
1998-01-01,118.14
1998-02-01,118.61
1998-03-01,119.25
1998-04-01,119.60
1998-05-01,120.16
1998-06-01,120.68
1998-07-01,121.20
1998-08-01,121.68
1998-09-01,122.11
1998-10-01,122.58
1998-11-01,123.15
1998-12-01,123.53
1999-01-01,123.92
1999-02-01,124.35
1999-03-01,124.65
1999-04-01,125.18
1999-05-01,125.54
1999-06-01,126.13
1999-07-01,126.57
1999-08-01,127.19
1999-09-01,127.63
1999-10-01,128.29
1999-11-01,128.79
1999-12-01,129.32
2000-01-01,129.86
2000-02-01,130.40
2000-03-01,130.97
2000-04-01,131.38
2000-05-01,131.97
2000-06-01,132.46
2000-07-01,133.07
2000-08-01,133.61
2000-09-01,134.12
2000-10-01,134.60
2000-11-01,134.95
2000-12-01,135.33
2001-01-01,135.52
2001-02-01,135.62
2001-03-01,135.83
2001-04-01,135.61
2001-05-01,135.60
2001-06-01,135.38
2001-07-01,135.18
2001-08-01,135.04
2001-09-01,134.70
2001-10-01,134.71
2001-11-01,134.50
2001-12-01,134.53
2002-01-01,134.52
2002-02-01,134.74
2002-03-01,134.77
2002-04-01,134.97
2002-05-01,135.10
2002-06-01,135.22
2002-07-01,135.31
2002-08-01,135.46
2002-09-01,135.46
2002-10-01,135.63
2002-11-01,135.75
2002-12-01,135.87
2003-01-01,135.80
2003-02-01,135.89
2003-03-01,135.98
2003-04-01,135.94
2003-05-01,136.08
2003-06-01,136.14
2003-07-01,136.38
2003-08-01,136.44
2003-09-01,136.70
2003-10-01,136.95
2003-11-01,137.22
2003-12-01,137.55
2004-01-01,137.78
2004-02-01,138.06
2004-03-01,138.32
2004-04-01,138.72
2004-05-01,139.09
2004-06-01,139.46
2004-07-01,139.85
2004-08-01,140.23
2004-09-01,140.45
2004-10-01,140.87
2004-11-01,141.27
2004-12-01,141.48
2005-01-01,141.90
2005-02-01,142.28
2005-03-01,142.68
2005-04-01,143.13
2005-05-01,143.44
2005-06-01,143.79
2005-07-01,144.35
2005-08-01,144.73
2005-09-01,145.11
2005-10-01,145.61
2005-11-01,146.06
2005-12-01,146.53
2006-01-01,146.80
2006-02-01,147.27
2006-03-01,147.53
2006-04-01,147.83
2006-05-01,148.15
2006-06-01,148.48
2006-07-01,148.76
2006-08-01,149.21
2006-09-01,149.45
2006-10-01,149.76
2006-11-01,149.88
2006-12-01,150.25
2007-01-01,150.40
2007-02-01,150.77
2007-03-01,150.93
2007-04-01,151.09
2007-05-01,151.29
2007-06-01,151.50
2007-07-01,151.70
2007-08-01,151.84
2007-09-01,151.91
2007-10-01,152.14
2007-11-01,152.16
2007-12-01,152.22
2008-01-01,152.28
2008-02-01,152.19
2008-03-01,152.13
2008-04-01,152.12
2008-05-01,151.73
2008-06-01,151.54
2008-07-01,151.25
2008-08-01,150.87
2008-09-01,150.44
2008-10-01,149.57
2008-11-01,148.68
2008-12-01,147.69
2009-01-01,146.81
2009-02-01,145.64
2009-03-01,144.85
2009-04-01,144.03
2009-05-01,143.26
2009-06-01,142.69
2009-07-01,142.10
2009-08-01,141.78
2009-09-01,141.53
2009-10-01,141.41
2009-11-01,141.30
2009-12-01,141.41
2010-01-01,141.35
2010-02-01,141.54
2010-03-01,141.76
2010-04-01,142.23
2010-05-01,142.52
2010-06-01,142.62
2010-07-01,142.85
2010-08-01,143.04
2010-09-01,143.21
2010-10-01,143.56
2010-11-01,143.86
2010-12-01,144.16
2011-01-01,144.46
2011-02-01,144.75
2011-03-01,145.10
2011-04-01,145.13
2011-05-01,145.43
2011-06-01,145.47
2011-07-01,145.90
2011-08-01,146.21
2011-09-01,146.68
2011-10-01,147.10
2011-11-01,147.55
2011-12-01,148.05
2012-01-01,148.63
2012-02-01,149.10
2012-03-01,149.48
2012-04-01,149.86
2012-05-01,150.42
2012-06-01,150.95
2012-07-01,151.45
2012-08-01,152.13
2012-09-01,152.78
2012-10-01,153.52
2012-11-01,154.05
2012-12-01,154.77
2013-01-01,155.22
2013-02-01,155.92
2013-03-01,156.40
2013-04-01,156.96
2013-05-01,157.35
2013-06-01,157.75
2013-07-01,158.31
2013-08-01,158.78
2013-09-01,159.35
2013-10-01,159.89
2013-11-01,160.25
2013-12-01,160.89
2014-01-01,161.17
2014-02-01,161.44
2014-03-01,162.23
2014-04-01,162.71
2014-05-01,163.31
2014-06-01,163.60
2014-07-01,163.95
2014-08-01,164.49
2014-09-01,164.78
2014-10-01,165.26
2014-11-01,165.87
2014-12-01,166.30
